20120412103240,89,165,53,74,28,200,96,6,11,14,297,98,8,76,6,23,188,50,20.91,55.85,43.19,33.27,28
20120412103300,59,181,53,44,14,190,83,8,9,21,287,93,14,67,10,42,184,59,20.24,55.29,42.59,34.21,28
20120412103320,65,188,46,55,20,176,82,7,17,16,342,101,16,88,5,24,196,38,25.78,62.1,45.89,37.37,32
20120412103340,62,161,41,80,30,170,69,6,12,17,366,120,12,75,6,20,226,43,24.99,62,46.82,35.64,30
20120412103400,60,161,43,85,30,187,86,13,8,20,357,87,10,74,13,32,224,56,22.53,62.12,46.8,34.8,29
20120412103420,57,162,51,79,22,158,71,9,13,27,338,88,12,69,10,23,216,52,22.82,58.43,44.28,36.34,31
20120412103440,57,188,56,48,11,154,76,10,12,26,323,116,12,59,8,17,202,70,20.89,57.64,44.24,34.52,28
20120412103500,73,165,61,60,24,173,72,3,9,20,329,136,9,59,4,30,209,55,23.07,58.31,44.69,33.78,30
20120412103740,84,201,55,93,32,200,95,6,12,34,378,89,15,76,4,25,245,44,23.47,64.91,48.39,36.91,37
20120412103800,66,193,62,83,24,212,92,11,12,28,374,119,11,80,10,27,221,57,24.17,66.71,52.55,39.98,33
20120412103820,91,197,54,72,29,172,84,8,20,33,364,136,24,70,9,29,255,46,26.71,66.7,50.47,42.68,42
20120412103840,91,200,68,90,29,187,81,9,14,33,391,129,10,68,9,48,231,64,25.58,68.05,52.03,40.34,72
20120412103900,101,194,46,60,18,226,105,13,11,17,334,132,11,81,10,36,238,68,24.84,63.68,49.62,39.5,35
20120412103920,94,216,59,60,21,200,82,11,10,31,392,108,12,83,13,35,235,44,24.18,67.3,53.44,38.19,52
20120412103940,74,201,50,103,41,190,94,10,16,20,383,119,15,78,9,35,272,43,24.26,67.15,50.81,41.73,38
20120412104000,82,191,57,81,22,193,89,5,16,39,376,106,19,85,6,35,263,69,25.4,68.42,51.75,41.06,66
20120412104020,76,203,45,60,21,223,102,8,12,32,379,116,11,89,7,33,259,53,25.37,67.64,51.08,39.72,89
20120412104040,80,198,52,68,19,206,91,5,20,21,413,103,19,90,7,25,243,65,26.28,67.26,51,41.7,39
20120412104100,80,212,59,69,27,212,98,10,19,20,369,111,19,72,7,35,240,82,26.76,66.43,50.13,41.61,394
20120412104340,127,222,52,75,27,211,113,14,11,24,468,144,12,73,12,29,276,61,28.82,78.56,58.43,44.67,46
20120412104400,122,209,59,83,30,260,129,7,15,33,445,125,13,85,8,28,302,80,26.57,77.49,58.45,44.56,86
20120412104420,128,225,73,71,25,259,124,12,12,19,431,112,20,91,11,34,288,77,27.97,75.39,57.69,46.19,49
20120412104440,109,225,67,92,28,229,103,12,21,35,394,134,13,112,11,25,272,64,29.91,73.73,56.45,45.31,54
20120412104500,77,242,68,78,26,233,104,12,17,24,406,134,21,92,9,37,275,67,27.85,76.13,56.89,45.8,42
20120412104520,76,241,64,90,29,232,107,7,15,32,446,134,11,104,13,42,276,67,29.16,77.71,58.15,44.37,46
20120412104540,87,210,47,82,32,232,112,17,17,29,473,120,17,89,11,46,318,55,29.35,80.65,59.73,47.01,86
20120412104600,95,221,62,101,32,241,101,11,7,28,468,105,5,96,15,45,273,69,27.24,78.17,58.65,42.19,44
20120412104620,71,242,58,68,26,180,86,13,14,29,481,134,23,83,10,42,300,68,28.41,81.69,59.06,46.09,42
20120412104640,72,241,69,80,24,229,105,6,18,32,446,142,12,91,7,29,295,80,27.17,78.6,58.38,45.26,60
20120412104700,90,238,58,68,31,218,109,12,15,32,434,129,16,89,9,32,272,78,27.94,78.4,58.42,45.73,51
20120412104720,103,204,62,83,24,262,119,16,14,29,428,117,17,92,19,42,314,71,29.7,76.54,58.02,44.91,54
20120412104900,212,409,114,34,14,159,103,1,23,45,557,161,25,24,1,20,226,22,35.45,88.75,66.74,52.36,68
20120412104920,181,242,65,78,29,207,109,11,23,39,495,203,19,65,7,28,304,56,34.27,86.1,65.92,53.07,75
20120412104940,170,275,74,92,37,244,124,14,14,23,501,153,17,95,12,41,291,62,34.33,86.66,66.26,51.36,60
20120412105000,121,245,61,73,21,253,115,14,14,21,504,133,14,87,12,58,330,98,33.91,85.44,65.35,49.14,58
20120412105020,155,233,64,90,36,266,131,13,17,41,475,133,17,91,17,53,347,92,30.27,85.28,68.31,51.96,120
20120412105040,131,251,68,90,30,259,117,10,15,24,461,157,13,97,10,45,317,113,29.37,82.01,63.91,50.21,75
20120412105100,118,247,60,113,36,243,109,10,13,27,438,153,16,85,9,48,334,79,28.4,80.27,62.3,47.96,64
20120412105120,112,233,70,114,39,236,109,21,18,27,479,142,12,103,19,38,334,85,28.82,82.08,63.36,49.35,55
20120412105140,108,258,68,100,32,286,135,13,11,27,469,156,19,109,13,53,335,73,32.89,82.96,64.77,49.83,57
20120412105200,100,258,76,64,20,269,120,11,22,38,498,152,19,121,16,53,312,77,31.63,84.2,64.99,52.74,147
20120412105220,107,271,70,79,27,266,121,12,23,38,455,148,23,104,7,51,303,60,28.2,81.69,63.89,50.79,63
20120412105240,115,260,66,74,29,257,105,12,16,30,475,166,18,108,16,28,321,94,30.75,83.79,65.12,50.85,68
20120412105600,175,299,79,79,29,283,143,17,24,44,498,162,24,100,16,51,279,66,35.21,89.66,69.52,55.33,91
20120412105620,139,306,93,82,26,242,109,10,24,41,532,165,26,96,12,53,325,74,36.07,91,71.91,57.47,171
20120412105640,120,293,78,107,40,265,132,15,22,27,583,175,19,101,13,38,363,91,37.37,94.08,74.15,57.96,103
20120412105700,124,297,72,116,43,269,113,14,15,30,545,184,17,102,15,37,321,83,36.71,92.39,72.4,55.36,99
20120412105720,113,292,76,113,30,276,141,10,19,35,563,182,19,102,8,40,331,82,36.59,92.3,72.31,55.88,109
20120412105740,111,307,91,82,31,289,119,11,21,32,582,165,21,119,10,43,315,78,33.49,91.58,73.73,58.29,98
20120412105800,135,303,78,90,26,287,135,20,22,41,471,197,23,122,17,57,346,93,33.36,88.91,71.78,58.14,113
20120412105820,124,285,76,117,41,250,111,13,15,29,519,183,21,103,18,47,352,93,34.39,88.46,70.46,56.03,83
20120412105840,95,282,74,106,39,254,113,16,19,34,553,171,9,102,14,51,359,70,36.18,91.86,71.21,54.8,114
20120412105900,108,287,88,117,42,270,125,16,10,38,532,197,11,105,18,56,370,70,35.93,88.84,71.52,54.68,75
20120412105920,106,270,67,117,41,285,131,15,16,36,487,179,18,112,17,56,328,91,34.08,84.4,68.46,53.92,70
20120412110120,165,306,68,84,28,267,142,8,21,30,620,218,22,80,10,43,333,98,34.5,100,82.99,60.89,325
20120412110140,164,308,82,95,36,253,127,11,20,35,608,166,23,98,8,41,366,63,33.62,100,81.01,60.32,223
20120412110200,147,311,91,115,43,285,137,14,22,45,601,153,22,119,15,44,358,91,34.51,100,83.6,62.91,339
20120412110220,110,299,77,140,48,294,136,11,22,36,579,201,21,107,7,50,378,80,33.96,100,83.53,62.39,272
20120412110240,128,320,90,120,32,280,127,17,19,30,594,193,21,109,19,51,318,87,36.05,98.58,80.48,62.94,196
20120412110300,121,311,80,108,42,302,140,17,23,48,624,170,20,93,15,52,356,118,35.56,100,80.65,64.94,187
20120412110320,131,322,82,104,32,310,140,11,20,44,549,192,23,133,12,60,359,100,38.59,95.9,77.91,61.37,144
20120412110340,124,321,86,70,26,284,128,13,18,46,625,168,18,128,13,44,379,88,40.26,99.53,80.54,62.39,215
20120412110400,119,312,87,109,42,327,153,14,24,44,579,172,26,134,12,57,359,98,36.32,96.18,79.15,64.3,169
20120412110420,114,325,95,105,30,321,144,14,23,42,563,188,22,106,16,53,363,90,35.48,98.99,78.73,64.07,192
20120412110440,123,317,76,109,38,271,125,10,22,42,604,181,20,141,10,54,339,69,34.85,95.38,75.8,60.05,143
20120412110500,118,330,104,116,42,285,137,14,15,34,594,157,21,111,13,47,394,78,36.11,96.96,76.49,60.58,111
20120412110700,227,535,128,34,19,152,102,4,26,65,647,231,35,16,3,14,257,25,41.4,100,82.64,63.28,439
20120412110720,195,286,68,59,23,250,135,6,29,43,624,200,25,66,7,35,347,76,41.29,100,82.8,65.8,499
20120412110740,202,296,105,107,44,319,154,23,19,38,557,179,14,126,14,47,361,82,41.05,100,84.67,60.99,455
20120412110800,140,333,88,124,35,275,140,15,10,37,603,195,18,108,18,33,343,87,40.59,100,84.14,58.18,488
20120412110820,135,321,84,101,35,323,152,12,23,41,586,190,20,112,14,61,336,94,40.54,100,83.58,62.06,504
20120412110840,136,305,83,102,31,286,133,8,18,45,597,174,20,120,8,48,344,77,39.99,100,81.91,60.73,474
20120412110900,110,345,89,72,26,288,128,11,22,41,592,178,25,120,10,52,402,88,38.85,100,84.78,62.51,477
20120412110920,134,302,59,93,33,286,136,14,22,32,609,152,25,117,12,64,390,93,38.94,100,82.62,62.59,424
20120412110940,107,277,77,102,36,322,155,14,20,37,597,147,12,112,14,65,392,103,39.13,100,81.88,59,465
20120412111000,108,307,80,104,35,338,147,19,19,35,583,176,17,139,17,68,375,84,38.56,100,84.26,61.79,530
20120412111020,107,307,80,124,43,332,152,18,17,41,604,142,20,127,20,61,391,81,38.8,100,83.67,59.89,526
20120412111040,124,320,96,122,43,307,134,14,21,45,609,167,27,130,11,47,383,93,39.03,100,83.9,63.32,471
20120412111100,114,335,87,126,40,279,113,16,23,36,616,177,24,126,18,68,376,116,37.79,100,86.72,64.34,403
20120412111120,135,310,88,116,45,284,126,13,30,35,625,197,30,114,13,62,367,110,38.45,100,83.75,64.57,469
20120412111320,202,314,101,57,25,238,132,5,26,50,576,288,26,61,4,24,327,51,34.63,100,81.67,63.2,622
20120412111340,177,288,109,98,34,285,151,12,14,41,569,224,8,100,10,40,331,62,34.22,100,82.42,56.09,580
20120412111400,180,332,83,107,39,265,119,11,17,47,580,212,27,101,9,51,325,76,34.58,100,82.15,60.14,603
20120412111420,152,318,94,109,41,289,143,11,24,42,580,233,20,105,15,36,374,76,34.79,100,84.32,61.05,617
20120412111440,169,308,105,106,32,271,129,15,21,35,533,227,26,112,10,62,383,94,34.6,100,83.51,62.75,602
20120412111500,128,322,90,108,37,310,145,19,23,42,538,216,20,122,19,57,359,90,35.82,100,83.84,61.58,599
20120412111520,158,312,91,107,38,300,131,14,25,33,570,209,24,105,16,57,389,81,35.39,100,85.38,63.72,673
20120412111540,161,297,91,133,45,356,171,12,14,26,550,160,13,125,10,57,380,86,36.23,100,82.96,58.09,585
20120412111600,132,328,88,134,43,288,120,19,21,57,580,211,25,124,18,55,367,114,35.94,100,86.76,62.36,631
20120412111620,141,320,79,125,43,327,149,17,31,50,548,197,30,129,13,60,367,114,36.16,100,85.45,67.77,575
